,0
1244,Aru B
1245,Aru B
1246,james e mooradian
1247,Aru B
1248,Aru B
1249,james e mooradian
1250,james e mooradian
1251,james e mooradian
1252,Aru B
1253,james e mooradian
1254,james e mooradian
1255,Aru B
1256,Aru B
1257,james e mooradian
1258,Aru B
1259,james e mooradian
1260,james e mooradian
1261,james e mooradian
1262,james e mooradian
1263,Aru B
1264,Aru B
1265,james e mooradian
1266,james e mooradian
1267,Aru B
1268,james e mooradian
1269,james e mooradian
1270,Aru B
1271,james e mooradian
1272,Aru B
1273,Aru B
1274,Aru B
1275,Aru B
1276,Aru B
1277,Aru B
1278,james e mooradian
1279,Aru B
1280,james e mooradian
1281,james e mooradian
1282,james e mooradian
1283,james e mooradian
1284,Aru B
1285,james e mooradian
1286,Aru B
1287,Aru B
1288,Aru B
1289,Aru B
1290,Aru B
1291,Aru B
1292,Aru B
1293,Aru B
1294,Aru B
1295,Aru B
1296,Aru B
1297,james e mooradian
1298,Aru B
1299,Aru B
1300,Aru B
1301,Aru B
1302,Aru B
1303,Aru B
1304,Aru B
1305,Aru B
1306,james e mooradian
1307,Aru B
1308,james e mooradian
1309,Aru B
1310,Aru B
1311,Aru B
1312,james e mooradian
1313,Aru B
1314,Aru B
1315,james e mooradian
1316,james e mooradian
1317,Aru B
1318,Aru B
1319,james e mooradian
1320,Aru B
1321,james e mooradian
1322,Aru B
1323,Aru B
1324,Aru B
1325,Aru B
1326,james e mooradian
1327,Aru B
1328,Aru B
1329,Aru B
1330,Aru B
1331,Aru B
1332,Aru B
1333,Aru B
1334,Aru B
1335,james e mooradian
1336,Aru B
1337,Aru B
1338,Aru B
1339,Aru B
1340,Aru B
1341,Aru B
1342,james e mooradian
1343,james e mooradian
1344,james e mooradian
1345,james e mooradian
1346,Aru B
1347,Aru B
1348,Aru B
1349,Aru B
1350,Aru B
1351,Aru B
1352,Aru B
1353,james e mooradian
1354,james e mooradian
1355,Aru B
1356,Aru B
1357,Aru B
1358,Aru B
1359,Aru B
1360,james e mooradian
1361,james e mooradian
1362,Aru B
1363,james e mooradian
1364,Aru B
1365,Aru B
1366,Aru B
1367,Aru B
1368,Aru B
1369,Aru B
1370,Aru B
1371,Aru B
1372,Aru B
1373,Aru B
1374,Aru B
1375,Aru B
1376,Aru B
1377,james e mooradian
1378,james e mooradian
1379,Aru B
1380,Aru B
1381,Aru B
1382,Aru B
1383,Aru B
1384,Aru B
1385,james e mooradian
1386,Aru B
1387,james e mooradian
1388,Aru B
1389,Aru B
1390,Aru B
1391,Aru B
1392,Aru B
1393,Aru B
1394,Aru B
1395,james e mooradian
1396,Aru B
1397,james e mooradian
1398,Aru B
1399,james e mooradian
1400,james e mooradian
1401,james e mooradian
1402,Aru B
1403,Aru B
1404,Aru B
1405,Aru B
1406,Aru B
1407,Aru B
1408,Aru B
1409,Aru B
1410,Aru B
1411,james e mooradian
1412,Aru B
1413,Aru B
1414,Aru B
1415,james e mooradian
1416,Aru B
1417,Aru B
1418,james e mooradian
1419,james e mooradian
1420,Aru B
1421,Aru B
1422,Aru B
1423,Aru B
1424,Aru B
1425,james e mooradian
1426,james e mooradian
1427,Aru B
1428,Aru B
1429,james e mooradian
1430,Aru B
1431,Aru B
1432,Aru B
1433,Aru B
1434,james e mooradian
1435,james e mooradian
1436,Aru B
1437,Aru B
1438,Aru B
1439,james e mooradian
1440,Aru B
1441,Aru B
